City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,agapovka,53.2973,59.1348,-2.26,67,100,2.7,RU,1730750686
84,tuy hoa,13.0833,109.3,23.48,95,70,1.18,VN,1730750687
85,olonkinbyen,70.9221,-8.7187,0.44,96,100,10.16,SJ,1730750688
86,san juan,-31.5375,-68.5364,27.65,25,0,10.11,AR,1730750689
87,kadhan,24.481,68.9859,26.4,56,0,3.43,PK,1730750690
88,badger,64.8,-147.5333,-8.99,90,100,0.67,US,1730750691
89,kapoeta,4.7717,33.5903,26.67,58,100,1.56,SS,1730750692
90,egilsstadir,65.2653,-14.3948,3.95,93,16,4.63,IS,1730750694
91,aswan,24.0934,32.907,23.61,40,0,1.54,EG,1730750551
92,rocha,-34.4833,-54.3333,18.82,96,100,9.64,UY,1730750697
93,taoudenni,22.6783,-3.9836,31.03,12,0,3.05,ML,1730750698
94,vila franca do campo,37.7167,-25.4333,21.23,99,66,4.16,PT,1730750699
95,west island,-12.1568,96.8225,25.99,89,75,6.69,CC,1730750700
96,constantia,44.1833,28.65,7.38,64,0,8.68,RO,1730750702
97,malango,-2.9627,119.9001,17.71,97,98,1.13,ID,1730750703
98,fuglafjordur,62.244,-6.814,10.03,95,100,3.64,FO,1730750704
99,lihue,21.9789,-159.3672,27.77,74,40,5.66,US,1730750705
100,broken hill,-31.95,141.4333,18.29,42,12,4.34,AU,1730750706
101,kas,36.2018,29.6377,18.19,77,1,3.19,TR,1730750707
102,marquette,46.5333,-87.6335,14.94,95,100,3.58,US,1730750708
103,puerto madero,14.7208,-92.4215,31.11,70,40,5.14,MX,1730750709
104,yaren,-0.5472,166.916,28.15,68,54,4.8,NR,1730750711
105,bandiagara,14.3501,-3.6104,28.87,16,99,3.57,ML,1730750712
106,uturoa,-16.7333,-151.4333,26.31,81,100,5.83,PF,1730750713
107,invercargill,-46.4,168.35,12.79,89,55,4.02,NZ,1730750714
108,ivins,37.1686,-113.6794,13.42,24,1,4.02,US,1730750715
109,rafraf,37.1904,10.1837,20.92,78,100,4.91,TN,1730750716
110,inhambane,-23.865,35.3833,25.0,88,20,4.12,MZ,1730750717
111,kamen'-na-obi,53.7884,81.3423,2.61,69,100,5.77,RU,1730750718
112,ribeira grande,38.5167,-28.7,20.22,73,20,9.26,PT,1730750720
113,nar'yan-mar,67.6713,53.087,-2.17,96,100,4.19,RU,1730750721
114,al artawiyah,26.5053,45.3444,22.59,50,5,3.65,SA,1730750723
115,tallahassee,30.4383,-84.2807,28.91,60,75,6.17,US,1730750724
116,ust-nera,64.5667,143.2,-25.68,99,95,1.24,RU,1730750725
117,igarka,67.4667,86.5833,-7.89,93,14,5.68,RU,1730750726
118,geneina,13.45,22.45,24.51,28,90,4.29,SD,1730750727
119,la gi,10.6667,107.7833,25.1,90,93,2.24,VN,1730750729
120,lorengau,-2.0226,147.2712,26.87,76,95,0.71,PG,1730750731
121,yol,32.1667,76.2,19.59,49,0,2.62,IN,1730750732
122,saipan,15.1355,145.701,27.58,84,4,3.58,MP,1730750733
123,portland,45.5234,-122.6762,11.27,88,100,5.36,US,1730750409
124,karratha,-20.7377,116.8463,30.14,28,0,3.8,AU,1730750735
125,tiksi,71.6872,128.8694,-25.95,99,64,2.59,RU,1730750737
126,vorgashor,67.5833,63.95,-4.18,92,100,8.03,RU,1730750738
127,usinsk,65.9939,57.5281,-3.62,95,100,8.58,RU,1730750739
128,vilyuchinsk,52.9306,158.4028,-7.85,79,91,2.96,RU,1730750740
129,alta,69.9689,23.2717,-1.01,85,75,2.06,NO,1730750741
130,dudinka,69.4058,86.1778,-5.8,89,38,8.45,RU,1730750742
131,sandnessjoen,66.0217,12.6316,9.06,93,75,5.66,NO,1730750743
132,papatowai,-46.5619,169.4708,12.24,88,45,3.62,NZ,1730750744
133,mili,6.0815,171.735,27.98,73,34,2.53,MH,1730750746
134,akureyri,65.6835,-18.0878,6.96,76,20,2.06,IS,1730750747
135,novodvinsk,64.4165,40.8122,0.86,86,100,4.94,RU,1730750748
136,new norfolk,-42.7826,147.0587,9.28,86,8,1.11,AU,1730750749
137,aykhal,66.0,111.5,-17.21,97,100,6.26,RU,1730750750
138,brookings,44.3114,-96.7984,11.36,80,100,5.66,US,1730750751
139,deming,32.2687,-107.7586,11.94,47,75,8.23,US,1730750752
140,morant bay,17.8815,-76.4093,26.86,89,100,6.94,JM,1730750753
141,richards bay,-28.783,32.0377,20.49,71,97,6.65,ZA,1730750756
142,puerto carreno,6.189,-67.4859,30.99,66,40,3.6,CO,1730750757
143,vorkuta,67.5,64.0,-3.97,92,100,7.89,RU,1730750758
144,polyarnyy,69.1989,33.4478,-0.5,78,88,9.5,RU,1730750759
145,aasiaat,68.7098,-52.8699,-6.21,95,100,1.1,GL,1730750760
146,arraial do cabo,-22.9661,-42.0278,24.98,88,75,8.23,BR,1730750761
147,ilomantsi,62.6716,30.9328,-2.0,78,25,3.89,FI,1730750763
148,petropavlovsk-kamchatsky,53.0452,158.6483,-8.67,67,0,5.0,RU,1730750764
149,labrador city,52.9463,-66.9114,-1.57,73,100,4.12,CA,1730750765
150,jayapura,-2.5333,140.7,25.66,95,98,2.46,ID,1730750766
151,quellon,-43.1167,-73.6167,11.77,69,100,6.53,CL,1730750767
152,stanley,54.868,-1.6985,8.62,92,75,0.0,GB,1730750768
153,opuwo,-18.0607,13.84,23.98,24,90,2.35,NA,1730750769
154,trebisacce,39.8708,16.5312,13.3,71,56,1.24,IT,1730750770
155,alotau,-10.3069,150.4462,24.36,93,64,0.93,PG,1730750772
156,kurumkan,54.3,110.3,-10.79,83,6,1.59,RU,1730750773
157,utrik,11.2278,169.8474,27.43,74,100,1.63,MH,1730750774
158,el puerto de santa maria,36.5939,-6.233,19.58,86,0,1.54,ES,1730750776
159,bismarck,46.8083,-100.7837,2.91,81,100,6.17,US,1730750754
